text,category,priority,recommendation,sla,city,area
"Experienced an intense allergic skin reaction, redness, and itching after applying the face cream.",Product,High,"Contact the customer immediately to assess health/safety impact. Issue a full refund, ship a free replacement, and escalate to the QA team to investigate batch contamination.",24 hours,Pune,Bandra
"Hello team, The lavender oil gave me a terrible chemical burn and skin irritation. Please look into this batch. Need a response soon. Thanks.",Product,High,"Contact the customer immediately to assess health/safety impact. Issue a full refund, ship a free replacement, and escalate to the QA team to investigate batch contamination.",24 hours,Mumbai,Navrangpura
"Hello team, Found tiny metal shavings/wire inside the capsules of my herbal supplement bottle. Very dangerous! Need a response soon. Thanks.",Product,High,"Contact the customer immediately to assess health/safety impact. Issue a full refund, ship a free replacement, and escalate to the QA team to investigate batch contamination.",24 hours,Mumbai,Kothrud
Urgent: The collagen drink smelled rotten and gave my wife severe food poisoning. She had to visit the hospital.,Product,High,"Contact the customer immediately to assess health/safety impact. Issue a full refund, ship a free replacement, and escalate to the QA team to investigate batch contamination.",24 hours,Ahmedabad,Bandra
"Hello team, This product is contaminated. There are dark particles floating in the liquid wellness syrup. Need a response soon. Thanks.",Product,High,"Contact the customer immediately to assess health/safety impact. Issue a full refund, ship a free replacement, and escalate to the QA team to investigate batch contamination.",24 hours,Delhi,Juhu
Urgent: The weight loss capsules caused extreme heart palpitations and dizziness immediately after consumption.,Product,High,"Contact the customer immediately to assess health/safety impact. Issue a full refund, ship a free replacement, and escalate to the QA team to investigate batch contamination.",24 hours,Delhi,Navrangpura
The vitamin C drops taste like pure chemicals and made my tongue swell up. I need this checked.,Product,High,"Contact the customer immediately to assess health/safety impact. Issue a full refund, ship a free replacement, and escalate to the QA team to investigate batch contamination.",24 hours,Mumbai,Vesu
Complaint: The massage oil caused a severe rash and hives across my back. I am demanding a refund. Batch No: BATCH-3266.,Product,High,"Contact the customer immediately to assess health/safety impact. Issue a full refund, ship a free replacement, and escalate to the QA team to investigate batch contamination.",24 hours,Delhi,Baner
"Dear Support, Consumed the protein powder and experienced severe stomach cramps, nausea, and vomiting. Please resolve this.",Product,High,"Contact the customer immediately to assess health/safety impact. Issue a full refund, ship a free replacement, and escalate to the QA team to investigate batch contamination.",24 hours,Surat,Satellite
Complaint: The multivitamin gummies have mold growing inside the jar. This is extremely hazardous. Batch No: BATCH-3621.,Product,High,"Contact the customer immediately to assess health/safety impact. Issue a full refund, ship a free replacement, and escalate to the QA team to investigate batch contamination.",24 hours,Mumbai,Saket
"Dear Support, Experienced an intense allergic skin reaction, redness, and itching after applying the face cream. Please resolve this.",Product,High,"Contact the customer immediately to assess health/safety impact. Issue a full refund, ship a free replacement, and escalate to the QA team to investigate batch contamination.",24 hours,Mumbai,Navrangpura
The lavender oil gave me a terrible chemical burn and skin irritation. Please look into this batch.,Product,High,"Contact the customer immediately to assess health/safety impact. Issue a full refund, ship a free replacement, and escalate to the QA team to investigate batch contamination.",24 hours,Mumbai,Juhu
Urgent: Found tiny metal shavings/wire inside the capsules of my herbal supplement bottle. Very dangerous!,Product,High,"Contact the customer immediately to assess health/safety impact. Issue a full refund, ship a free replacement, and escalate to the QA team to investigate batch contamination.",24 hours,Delhi,Adajan
"Hello team, The collagen drink smelled rotten and gave my wife severe food poisoning. She had to visit the hospital. Need a response soon. Thanks.",Product,High,"Contact the customer immediately to assess health/safety impact. Issue a full refund, ship a free replacement, and escalate to the QA team to investigate batch contamination.",24 hours,Surat,Juhu
Urgent: This product is contaminated. There are dark particles floating in the liquid wellness syrup.,Product,High,"Contact the customer immediately to assess health/safety impact. Issue a full refund, ship a free replacement, and escalate to the QA team to investigate batch contamination.",24 hours,Pune,Satellite
Urgent: The weight loss capsules caused extreme heart palpitations and dizziness immediately after consumption.,Product,High,"Contact the customer immediately to assess health/safety impact. Issue a full refund, ship a free replacement, and escalate to the QA team to investigate batch contamination.",24 hours,Mumbai,Kothrud
The vitamin C drops taste like pure chemicals and made my tongue swell up. I need this checked. I am very disappointed.,Product,High,"Contact the customer immediately to assess health/safety impact. Issue a full refund, ship a free replacement, and escalate to the QA team to investigate batch contamination.",24 hours,Surat,Dwarka
The massage oil caused a severe rash and hives across my back. I am demanding a refund.,Product,High,"Contact the customer immediately to assess health/safety impact. Issue a full refund, ship a free replacement, and escalate to the QA team to investigate batch contamination.",24 hours,Ahmedabad,Juhu
"Dear Support, The protein powder has a horrible, extremely sweet artificial taste. I cannot drink it. Please resolve this.",Product,Medium,Apologize for the sub-standard quality. Email a prepaid return label to retrieve the item and issue a prompt refund or replacement.,48 hours,Pune,Juhu
Have been using the hair regrowth serum for 6 weeks as directed but have seen zero improvement.,Product,Medium,Apologize for the sub-standard quality. Email a prepaid return label to retrieve the item and issue a prompt refund or replacement.,48 hours,Ahmedabad,Kothrud
Urgent: The flavor of the herbal tea is completely bland and taste-free. It smells stale.,Product,Medium,Apologize for the sub-standard quality. Email a prepaid return label to retrieve the item and issue a prompt refund or replacement.,48 hours,Ahmedabad,Juhu
"The anti-aging cream is greasy, leaves a white cast, and does not absorb at all.",Product,Medium,Apologize for the sub-standard quality. Email a prepaid return label to retrieve the item and issue a prompt refund or replacement.,48 hours,Surat,Saket
Urgent: The product arrived with an expiry date of next week. I cannot finish the bottle in time.,Product,Medium,Apologize for the sub-standard quality. Email a prepaid return label to retrieve the item and issue a prompt refund or replacement.,48 hours,Mumbai,Adajan
"Dear Support, The color of the vitamin C serum has turned completely dark brown, meaning it has oxidized. Please resolve this.",Product,Medium,Apologize for the sub-standard quality. Email a prepaid return label to retrieve the item and issue a prompt refund or replacement.,48 hours,Pune,Dwarka
Complaint: The supplement powder has clumped into hard solid rocks that won't dissolve in water. Batch No: BATCH-1949.,Product,Medium,Apologize for the sub-standard quality. Email a prepaid return label to retrieve the item and issue a prompt refund or replacement.,48 hours,Ahmedabad,Saket
"Dear Support, The fish oil capsules smell extremely fishy and rancid, unlike the previous bottles I bought. Please resolve this.",Product,Medium,Apologize for the sub-standard quality. Email a prepaid return label to retrieve the item and issue a prompt refund or replacement.,48 hours,Surat,Baner
"Dear Support, The ashwagandha drops have a weird muddy texture and taste very bitter. Please resolve this.",Product,Medium,Apologize for the sub-standard quality. Email a prepaid return label to retrieve the item and issue a prompt refund or replacement.,48 hours,Delhi,Kothrud
"Complaint: The consistency of the face lotion is very watery, it keeps leaking out of the bottle. Batch No: BATCH-8787.",Product,Medium,Apologize for the sub-standard quality. Email a prepaid return label to retrieve the item and issue a prompt refund or replacement.,48 hours,Delhi,Kothrud
"Urgent: The protein powder has a horrible, extremely sweet artificial taste. I cannot drink it.",Product,Medium,Apologize for the sub-standard quality. Email a prepaid return label to retrieve the item and issue a prompt refund or replacement.,48 hours,Delhi,Saket
Have been using the hair regrowth serum for 6 weeks as directed but have seen zero improvement. I am very disappointed.,Product,Medium,Apologize for the sub-standard quality. Email a prepaid return label to retrieve the item and issue a prompt refund or replacement.,48 hours,Ahmedabad,Juhu
"Hello team, The flavor of the herbal tea is completely bland and taste-free. It smells stale. Need a response soon. Thanks.",Product,Medium,Apologize for the sub-standard quality. Email a prepaid return label to retrieve the item and issue a prompt refund or replacement.,48 hours,Ahmedabad,Dwarka
"The anti-aging cream is greasy, leaves a white cast, and does not absorb at all. I am very disappointed.",Product,Medium,Apologize for the sub-standard quality. Email a prepaid return label to retrieve the item and issue a prompt refund or replacement.,48 hours,Pune,Baner
The product arrived with an expiry date of next week. I cannot finish the bottle in time.,Product,Medium,Apologize for the sub-standard quality. Email a prepaid return label to retrieve the item and issue a prompt refund or replacement.,48 hours,Mumbai,Satellite
"Complaint: The color of the vitamin C serum has turned completely dark brown, meaning it has oxidized. Batch No: BATCH-4681.",Product,Medium,Apologize for the sub-standard quality. Email a prepaid return label to retrieve the item and issue a prompt refund or replacement.,48 hours,Surat,Vesu
"Dear Support, The supplement powder has clumped into hard solid rocks that won't dissolve in water. Please resolve this.",Product,Medium,Apologize for the sub-standard quality. Email a prepaid return label to retrieve the item and issue a prompt refund or replacement.,48 hours,Delhi,Juhu
"Complaint: The fish oil capsules smell extremely fishy and rancid, unlike the previous bottles I bought. Batch No: BATCH-4608.",Product,Medium,Apologize for the sub-standard quality. Email a prepaid return label to retrieve the item and issue a prompt refund or replacement.,48 hours,Surat,Satellite
"Hello team, The ashwagandha drops have a weird muddy texture and taste very bitter. Need a response soon. Thanks.",Product,Medium,Apologize for the sub-standard quality. Email a prepaid return label to retrieve the item and issue a prompt refund or replacement.,48 hours,Surat,Bandra
"Dear Support, The consistency of the face lotion is very watery, it keeps leaking out of the bottle. Please resolve this.",Product,Medium,Apologize for the sub-standard quality. Email a prepaid return label to retrieve the item and issue a prompt refund or replacement.,48 hours,Surat,Vesu
"Dear Support, The protein powder has a horrible, extremely sweet artificial taste. I cannot drink it. Please resolve this.",Product,Medium,Apologize for the sub-standard quality. Email a prepaid return label to retrieve the item and issue a prompt refund or replacement.,48 hours,Delhi,Bandra
Urgent: Have been using the hair regrowth serum for 6 weeks as directed but have seen zero improvement.,Product,Medium,Apologize for the sub-standard quality. Email a prepaid return label to retrieve the item and issue a prompt refund or replacement.,48 hours,Mumbai,Bandra
The flavor of the herbal tea is completely bland and taste-free. It smells stale.,Product,Medium,Apologize for the sub-standard quality. Email a prepaid return label to retrieve the item and issue a prompt refund or replacement.,48 hours,Ahmedabad,Saket
"The anti-aging cream is greasy, leaves a white cast, and does not absorb at all.",Product,Medium,Apologize for the sub-standard quality. Email a prepaid return label to retrieve the item and issue a prompt refund or replacement.,48 hours,Mumbai,Bandra
The product arrived with an expiry date of next week. I cannot finish the bottle in time. I am very disappointed.,Product,Medium,Apologize for the sub-standard quality. Email a prepaid return label to retrieve the item and issue a prompt refund or replacement.,48 hours,Mumbai,Bandra
"Dear Support, The color of the vitamin C serum has turned completely dark brown, meaning it has oxidized. Please resolve this.",Product,Medium,Apologize for the sub-standard quality. Email a prepaid return label to retrieve the item and issue a prompt refund or replacement.,48 hours,Surat,Navrangpura
Urgent: The supplement powder has clumped into hard solid rocks that won't dissolve in water.,Product,Medium,Apologize for the sub-standard quality. Email a prepaid return label to retrieve the item and issue a prompt refund or replacement.,48 hours,Mumbai,Navrangpura
"The fish oil capsules smell extremely fishy and rancid, unlike the previous bottles I bought. I am very disappointed.",Product,Medium,Apologize for the sub-standard quality. Email a prepaid return label to retrieve the item and issue a prompt refund or replacement.,48 hours,Surat,Satellite
"Dear Support, The ashwagandha drops have a weird muddy texture and taste very bitter. Please resolve this.",Product,Medium,Apologize for the sub-standard quality. Email a prepaid return label to retrieve the item and issue a prompt refund or replacement.,48 hours,Mumbai,Vesu
"Dear Support, The consistency of the face lotion is very watery, it keeps leaking out of the bottle. Please resolve this.",Product,Medium,Apologize for the sub-standard quality. Email a prepaid return label to retrieve the item and issue a prompt refund or replacement.,48 hours,Ahmedabad,Bandra
"Complaint: The protein powder has a horrible, extremely sweet artificial taste. I cannot drink it. Batch No: BATCH-9786.",Product,Medium,Apologize for the sub-standard quality. Email a prepaid return label to retrieve the item and issue a prompt refund or replacement.,48 hours,Mumbai,Kothrud
Have been using the hair regrowth serum for 6 weeks as directed but have seen zero improvement. I am very disappointed.,Product,Medium,Apologize for the sub-standard quality. Email a prepaid return label to retrieve the item and issue a prompt refund or replacement.,48 hours,Ahmedabad,Dwarka
The flavor of the herbal tea is completely bland and taste-free. It smells stale. I am very disappointed.,Product,Medium,Apologize for the sub-standard quality. Email a prepaid return label to retrieve the item and issue a prompt refund or replacement.,48 hours,Ahmedabad,Satellite
"The anti-aging cream is greasy, leaves a white cast, and does not absorb at all. I am very disappointed.",Product,Medium,Apologize for the sub-standard quality. Email a prepaid return label to retrieve the item and issue a prompt refund or replacement.,48 hours,Delhi,Satellite
"Dear Support, The product arrived with an expiry date of next week. I cannot finish the bottle in time. Please resolve this.",Product,Medium,Apologize for the sub-standard quality. Email a prepaid return label to retrieve the item and issue a prompt refund or replacement.,48 hours,Delhi,Adajan
"Dear Support, The color of the vitamin C serum has turned completely dark brown, meaning it has oxidized. Please resolve this.",Product,Medium,Apologize for the sub-standard quality. Email a prepaid return label to retrieve the item and issue a prompt refund or replacement.,48 hours,Ahmedabad,Kothrud
The supplement powder has clumped into hard solid rocks that won't dissolve in water. I am very disappointed.,Product,Medium,Apologize for the sub-standard quality. Email a prepaid return label to retrieve the item and issue a prompt refund or replacement.,48 hours,Mumbai,Baner
"Complaint: The fish oil capsules smell extremely fishy and rancid, unlike the previous bottles I bought. Batch No: BATCH-7570.",Product,Medium,Apologize for the sub-standard quality. Email a prepaid return label to retrieve the item and issue a prompt refund or replacement.,48 hours,Surat,Kothrud
The ashwagandha drops have a weird muddy texture and taste very bitter. I am very disappointed.,Product,Medium,Apologize for the sub-standard quality. Email a prepaid return label to retrieve the item and issue a prompt refund or replacement.,48 hours,Surat,Navrangpura
"Urgent: The consistency of the face lotion is very watery, it keeps leaking out of the bottle.",Product,Medium,Apologize for the sub-standard quality. Email a prepaid return label to retrieve the item and issue a prompt refund or replacement.,48 hours,Mumbai,Dwarka
"The protein powder has a horrible, extremely sweet artificial taste. I cannot drink it. I am very disappointed.",Product,Medium,Apologize for the sub-standard quality. Email a prepaid return label to retrieve the item and issue a prompt refund or replacement.,48 hours,Delhi,Baner
Complaint: Have been using the hair regrowth serum for 6 weeks as directed but have seen zero improvement. Batch No: BATCH-4111.,Product,Medium,Apologize for the sub-standard quality. Email a prepaid return label to retrieve the item and issue a prompt refund or replacement.,48 hours,Pune,Bandra
"Dear Support, The flavor of the herbal tea is completely bland and taste-free. It smells stale. Please resolve this.",Product,Medium,Apologize for the sub-standard quality. Email a prepaid return label to retrieve the item and issue a prompt refund or replacement.,48 hours,Delhi,Juhu
"Dear Support, The anti-aging cream is greasy, leaves a white cast, and does not absorb at all. Please resolve this.",Product,Medium,Apologize for the sub-standard quality. Email a prepaid return label to retrieve the item and issue a prompt refund or replacement.,48 hours,Pune,Adajan
"Dear Support, The product arrived with an expiry date of next week. I cannot finish the bottle in time. Please resolve this.",Product,Medium,Apologize for the sub-standard quality. Email a prepaid return label to retrieve the item and issue a prompt refund or replacement.,48 hours,Delhi,Baner
"The color of the vitamin C serum has turned completely dark brown, meaning it has oxidized.",Product,Medium,Apologize for the sub-standard quality. Email a prepaid return label to retrieve the item and issue a prompt refund or replacement.,48 hours,Delhi,Kothrud
"Dear Support, The supplement powder has clumped into hard solid rocks that won't dissolve in water. Please resolve this.",Product,Medium,Apologize for the sub-standard quality. Email a prepaid return label to retrieve the item and issue a prompt refund or replacement.,48 hours,Delhi,Satellite
"Complaint: The fish oil capsules smell extremely fishy and rancid, unlike the previous bottles I bought. Batch No: BATCH-2122.",Product,Medium,Apologize for the sub-standard quality. Email a prepaid return label to retrieve the item and issue a prompt refund or replacement.,48 hours,Delhi,Satellite
"Hello team, The ashwagandha drops have a weird muddy texture and taste very bitter. Need a response soon. Thanks.",Product,Medium,Apologize for the sub-standard quality. Email a prepaid return label to retrieve the item and issue a prompt refund or replacement.,48 hours,Ahmedabad,Navrangpura
"Dear Support, The consistency of the face lotion is very watery, it keeps leaking out of the bottle. Please resolve this.",Product,Medium,Apologize for the sub-standard quality. Email a prepaid return label to retrieve the item and issue a prompt refund or replacement.,48 hours,Delhi,Bandra
"The face wash texture is slightly more liquid than the previous tube, but it still works okay.",Product,Low,Acknowledge feedback and share details with the R&D team for flavor/texture improvements. Provide a 15% discount coupon for the next order.,72 hours,Delhi,Adajan
The flavor of the orange protein shake is a bit too sour for my liking.,Product,Low,Acknowledge feedback and share details with the R&D team for flavor/texture improvements. Provide a 15% discount coupon for the next order.,72 hours,Surat,Navrangpura
"Hello team, Would like to know if the herbal capsules are suitable for a vegan diet. Need a response soon. Thanks.",Product,Low,Acknowledge feedback and share details with the R&D team for flavor/texture improvements. Provide a 15% discount coupon for the next order.,72 hours,Delhi,Saket
"The tea leaves are ground a bit too fine, so they pass through my strainer.",Product,Low,Acknowledge feedback and share details with the R&D team for flavor/texture improvements. Provide a 15% discount coupon for the next order.,72 hours,Pune,Dwarka
Complaint: The aroma of the chamomile tea is not as strong as I expected from the label description. Batch No: BATCH-6147.,Product,Low,Acknowledge feedback and share details with the R&D team for flavor/texture improvements. Provide a 15% discount coupon for the next order.,72 hours,Ahmedabad,Dwarka
Just wanted to give feedback that the protein bars are a little too hard to chew. I am very disappointed.,Product,Low,Acknowledge feedback and share details with the R&D team for flavor/texture improvements. Provide a 15% discount coupon for the next order.,72 hours,Ahmedabad,Dwarka
Can you confirm if this aloe vera gel is oil-free and non-comedogenic? I am very disappointed.,Product,Low,Acknowledge feedback and share details with the R&D team for flavor/texture improvements. Provide a 15% discount coupon for the next order.,72 hours,Pune,Satellite
"Dear Support, The skin serum feels slightly sticky for the first few minutes after application. Please resolve this.",Product,Low,Acknowledge feedback and share details with the R&D team for flavor/texture improvements. Provide a 15% discount coupon for the next order.,72 hours,Mumbai,Saket
Is there a minor recipe change in the vanilla health shake? The color looks lighter.,Product,Low,Acknowledge feedback and share details with the R&D team for flavor/texture improvements. Provide a 15% discount coupon for the next order.,72 hours,Surat,Satellite
Could you provide more details about the source of the marine collagen in the cream?,Product,Low,Acknowledge feedback and share details with the R&D team for flavor/texture improvements. Provide a 15% discount coupon for the next order.,72 hours,Ahmedabad,Juhu
"Urgent: The face wash texture is slightly more liquid than the previous tube, but it still works okay.",Product,Low,Acknowledge feedback and share details with the R&D team for flavor/texture improvements. Provide a 15% discount coupon for the next order.,72 hours,Ahmedabad,Vesu
"Dear Support, The flavor of the orange protein shake is a bit too sour for my liking. Please resolve this.",Product,Low,Acknowledge feedback and share details with the R&D team for flavor/texture improvements. Provide a 15% discount coupon for the next order.,72 hours,Ahmedabad,Vesu
Urgent: Would like to know if the herbal capsules are suitable for a vegan diet.,Product,Low,Acknowledge feedback and share details with the R&D team for flavor/texture improvements. Provide a 15% discount coupon for the next order.,72 hours,Ahmedabad,Baner
"The tea leaves are ground a bit too fine, so they pass through my strainer.",Product,Low,Acknowledge feedback and share details with the R&D team for flavor/texture improvements. Provide a 15% discount coupon for the next order.,72 hours,Pune,Saket
"Hello team, The aroma of the chamomile tea is not as strong as I expected from the label description. Need a response soon. Thanks.",Product,Low,Acknowledge feedback and share details with the R&D team for flavor/texture improvements. Provide a 15% discount coupon for the next order.,72 hours,Delhi,Adajan
"Hello team, Just wanted to give feedback that the protein bars are a little too hard to chew. Need a response soon. Thanks.",Product,Low,Acknowledge feedback and share details with the R&D team for flavor/texture improvements. Provide a 15% discount coupon for the next order.,72 hours,Delhi,Dwarka
"Hello team, Can you confirm if this aloe vera gel is oil-free and non-comedogenic? Need a response soon. Thanks.",Product,Low,Acknowledge feedback and share details with the R&D team for flavor/texture improvements. Provide a 15% discount coupon for the next order.,72 hours,Surat,Kothrud
Urgent: The skin serum feels slightly sticky for the first few minutes after application.,Product,Low,Acknowledge feedback and share details with the R&D team for flavor/texture improvements. Provide a 15% discount coupon for the next order.,72 hours,Surat,Satellite
"Hello team, Is there a minor recipe change in the vanilla health shake? The color looks lighter. Need a response soon. Thanks.",Product,Low,Acknowledge feedback and share details with the R&D team for flavor/texture improvements. Provide a 15% discount coupon for the next order.,72 hours,Delhi,Kothrud
Urgent: Could you provide more details about the source of the marine collagen in the cream?,Product,Low,Acknowledge feedback and share details with the R&D team for flavor/texture improvements. Provide a 15% discount coupon for the next order.,72 hours,Pune,Saket
"Complaint: The face wash texture is slightly more liquid than the previous tube, but it still works okay. Batch No: BATCH-6617.",Product,Low,Acknowledge feedback and share details with the R&D team for flavor/texture improvements. Provide a 15% discount coupon for the next order.,72 hours,Ahmedabad,Dwarka
The flavor of the orange protein shake is a bit too sour for my liking.,Product,Low,Acknowledge feedback and share details with the R&D team for flavor/texture improvements. Provide a 15% discount coupon for the next order.,72 hours,Mumbai,Dwarka
