Complaint_ID,Complaint_Text,Category,Priority,Suggested_Resolution
184,ID card not issued yet,Administration,Low,Escalate to admin department for verification
185,Lab equipment not available,IT Services,High,Assign issue to IT support team
186,Timetable clashes for subjects,Hostel,Low,Inform hostel warden and take corrective action
187,Assignment submission portal error,Academic,Medium,Contact academic office and assign faculty support
188,WiFi not working in hostel room,Administration,High,Escalate to admin department for verification
189,Air conditioning not working,Hostel,Medium,Inform hostel warden and take corrective action
190,Slow internet in computer lab,Academic,Medium,Contact academic office and assign faculty support
191,Slow internet in computer lab,Administration,High,Escalate to admin department for verification
192,Classroom projector not functioning,IT Services,Low,Assign issue to IT support team
193,ID card not issued yet,Hostel,Low,Inform hostel warden and take corrective action
194,App crashing during submission,IT Services,Low,Assign issue to IT support team
195,Lab equipment not available,Hostel,Medium,Inform hostel warden and take corrective action
196,Delay in exam result declaration,Hostel,Low,Inform hostel warden and take corrective action
197,Timetable clashes for subjects,Administration,Low,Escalate to admin department for verification
198,Lab equipment not available,Administration,High,Escalate to admin department for verification
199,Transport bus delays,Academic,Low,Contact academic office and assign faculty support
200,Faculty not available during office hours,Infrastructure,Low,Forward to maintenance team for repair
